,places,longitude,latitude
351,Champs-sur-Marne,2.6027219,48.8526892
352,Rochefort,-0.9687519,45.9438412
353,Muret,1.3262332,43.4599858
354,Sainte-Anne,5.9868231,46.954414
355,Eaubonne,2.2794326,48.9906696
356,Étampes,2.1614464,48.4344621
357,Gradignan,-0.613907,44.7739701
358,Vernon,1.4886571,49.0917814
359,Petit-Bourg,-61.5903488,16.1913912
360,Libourne,-0.2427217,44.9133742
361,Abbeville,1.8337029,50.1060835
362,Rodez,2.5727883,44.3513062
363,Saint-Ouen-l'Aumône,2.1059841,49.044765
364,Torcy,2.02302,50.4830626
365,Maisons-Laffitte,2.1450951,48.9461437
366,Montgeron,2.4605107,48.7038873
367,Villeneuve-sur-Lot,0.7046455,44.4056615
368,Cormeilles-en-Parisis,2.1998877,48.9759637
369,Épernay,3.9528655,49.042561
370,Sèvres,2.2127083,48.8247407
371,Dole,5.4925463,47.0921047
372,Le Robert,-60.939021,14.6776144
373,Le Bouscat,-0.5992399,44.8661755
374,Blagnac,1.37799,43.6434
375,Frontignan,3.7530636,43.4487615
376,Cenon,-0.5239863,44.8552882
377,Mandelieu-la-Napoule,6.9359135,43.5439153
378,Vertou,-1.4722242,47.1685211
379,Les Lilas,2.415796,48.8795658
380,Bruay-la-Buissière,2.5461922,50.4821963
381,Les Pavillons-sous-Bois,2.5034999,48.9082988
382,Chaumont,5.1395849,48.1111324
383,Roissy-en-Brie,2.6545195,48.7903787
384,Le Moule,-61.3476233,16.3316709
385,Le Petit-Quevilly,1.06208,49.4238
386,Manosque,5.7826657,43.8338026
387,Saint-Mandé,2.4159739,48.8432434
388,Fontenay-aux-Roses,2.2870373,48.7911052
389,Orly,2.402391,48.7431683
390,Le Creusot,4.4285961,46.8054064
391,Oyonnax,5.673366294950046,46.2476745
392,La Madeleine,3.0733338,50.654401
393,Sainte-Suzanne,6.7750956,47.5061216
394,Millau,3.0777594,44.1006693
395,Combs-la-Ville,2.564877,48.6646994
396,Fontaine,5.6869624,45.1950183
397,Deuil-la-Barre,2.3275141,48.9756423
398,Coudekerque-Branche,2.3894321,51.020878
399,Auch,0.5850507,43.6463558
400,Lanester,-3.3444489,47.7639726
401,Beaune,4.8380426,47.0239064
402,Montigny-lès-Metz,6.153041,49.0999832
403,Hazebrouck,2.5360331,50.7226113
404,Longjumeau,2.2953297,48.6943793
405,Sainte-Foy-lès-Lyon,4.7934767,45.7362255
406,Forbach,6.874619,49.1835376
407,Sarreguemines,7.0708865,49.1094836
408,Mons-en-Barœul,3.1093516,50.6428547
409,La Valette-du-Var,5.9834654,43.1378245
410,Hérouville-Saint-Clair,-0.3353513,49.2031097
411,Morsang-sur-Orge,2.3527728,48.6641415
412,Grande-Synthe,2.3029972,51.0134813
413,La Celle-Saint-Cloud,2.136145,48.8478753
414,Lisieux,0.2255168,49.1460831
415,Croix,3.1564365,50.6802124
416,Dammarie-les-Lys,2.6347018,48.5150876
417,Vélizy-Villacoublay,2.1900052,48.7809496
418,Wasquehal,3.1312447,50.6691577
419,Saint-Gratien,2.4081341,49.9656998
420,Halluin,3.1249234,50.7826693
421,Neuilly-Plaisance,2.5060144,48.8608712
422,Montmorency,2.3197111,48.9891693
423,Dax,-1.0518771,43.7084065
424,Lagny-sur-Marne,2.7056056,48.8773018
425,Le Mée-sur-Seine,2.6335912,48.5381859
426,Saint-Genis-Laval,4.7928827,45.6950021
427,Fleury-les-Aubrais,1.9208883,47.9309156
428,Loos,3.0162523,50.6092082
429,Gif-sur-Yvette,2.134529,48.7018823
430,Denain,3.3943729,50.3270926
431,Saint-Dié-des-Vosges,6.9477708,48.2873153
432,Sainte-Rose,-61.698147,16.3327353
433,Saint-Michel-sur-Orge,2.3027478,48.6302735
