,places,longitude,latitude
286,Fossnes,10.2551491,59.2886158
287,Fotlandsvåg,5.5246297,60.5896967
288,Fræna,7.156407,62.854171
289,Fredrikstad,10.9361604,59.2133614
290,Frekhaug,5.2403768,60.5181905
291,Frogn,10.64598548235418,59.6957457
292,Frogner,10.7066491,59.9222241
293,Froland,8.600437985137697,58.587284600000004
294,Frommereid,5.0771111,60.5019222
295,Frøya,8.889507659687325,64.0705003
296,Fuglevik,10.7627472,59.3231583
297,Fusa,5.735771315835611,60.1935843
298,Fyllingsdalen,5.292641508213948,60.34700960000001
299,Fyresdal,8.037083372807686,59.144754
300,Gáivuotna Kåfjord,20.72717161808157,69.4973215
301,Gamlebyen,10.769846,59.9043544
302,Gamvik,28.163400299197704,70.87916405000001
303,Gangstadhaugen,11.3312366,63.9582939
304,Gata,11.3440268,60.6848944
305,Gaular,6.1186641,61.3491401
306,Gauldalen,10.826678,62.9607963
307,Gaupne,7.2945685,61.4046801
308,Gausdal,9.85321866311698,61.264068050000006
309,Geilo,8.2063719,60.5345261
310,Geithus,9.9679296,59.932029
311,Gibostad,18.0760924,69.3538045
312,Gildeskål,13.943733218191982,67.00603609999999
313,Gilja,6.2588494,58.8071375
314,Giske,5.721106460277015,62.640268500000005
315,Gjemnes,7.8692606369819575,62.918906449999994
316,Gjerde,9.318427,58.9283877
317,Gjerdrum,11.020612257865926,60.0787767
318,Gjermundshamn,5.9166868,60.0595092
319,Gjerstad,8.979742055383706,58.8782545
320,Gjesdal,6.277085087512646,58.831208849999996
321,Gjøvik,10.503886379493999,60.87216165
322,Gladstad,11.961864,65.6769293
323,Glærem,8.6361355,62.9900094
324,Glåmdalen,12.0224556,60.469913
325,Glesnes,5.0407711,60.2096051
326,Glomfjord,13.9493751,66.8122881
327,Glomstein,10.3670722,59.1981583
328,Gloppen,6.177924983732583,61.72965245
329,Glosli,11.0352227,59.1923437
330,Gol,9.012301772691686,60.7513391
331,Gomnes,10.1743623,60.0782966
332,Gran,10.429861689666648,60.438539399999996
333,Grane,13.408331792970014,65.4429994
334,Granrudmoen,10.4389639,61.2422669
335,Granvin,6.7194203,60.5240658
336,Gravdal,13.5532976,68.118191
337,Grenland,9.708254052474171,59.12362455
338,Grimstad,8.712829118742853,58.2839967
339,Grinde,5.4636068,59.4290657
340,Grøa,8.7199771,62.6363176
341,Grodås,6.5252984,61.9665802
342,Grong,12.637238268418749,64.53079715000001
343,Grønland,10.7601469,59.9127909
344,Grønlands Torg,10.761795236386355,59.91264445
345,Grønlund,10.841316227855438,59.702330450000005
346,Grorud,10.8805488,59.9614243
347,Grov,17.120942,68.6763882
348,Grua,10.6649485,60.2590571
349,Grue,12.221322506509111,60.41360525
350,Grünerløkka,10.777421166334747,59.92547125
351,Gryllefjord,17.0550418,69.3626961
352,Gudbrandsdalen,9.8344149,61.5829007
353,Gulen,5.155032196867182,60.961458699999994
354,Gullhaug,10.2563523,59.5002945
355,Guovdageaidnu Kautokeino,23.0413193,69.0124212
356,Gvarv,9.1747361,59.3877705
357,Hå,5.567436743998952,58.51840775
358,Hadeland,10.632602213515423,60.00317455
359,Hadsel,14.82780768487207,68.50329099999999
361,Hægeland,7.7413361,58.3834278
362,Hafslo,7.2024649,61.3157433
363,Haga,11.373128,60.0537415
364,Haganes,30.0493799,69.7290366
365,Håkvik,17.3082522,68.4048185
366,Hålandsmarka,5.5764862,58.8508809
367,Halden,11.537191002239753,59.0680555
368,Hallingby,10.184833,60.2713811
369,Hallingdal,10.7875265,60.6603622
370,Hålogaland,17.4820128,68.4648749
371,Hamar,11.16479641006573,61.0014937
372,Hamarøy,16.241584472892598,67.9218459
373,Hammarsland,5.069611,60.2571144
374,Hammarvika,8.8150752,63.7019843
375,Hammerfest,23.8360800591327,70.6413392
376,Hamna,18.9814097,69.703541
377,Hamnås,10.5922572,60.0352228
378,Hamre,5.3584469,60.5467805
379,Hanøy,5.0867954,60.4464464
380,Hansnes,19.6270874,69.9670442
381,Haram,6.1875532,62.6563869
382,Hardanger,10.6792306,59.9053968
383,Hardbakke,4.8406111,61.0739804
384,Hareid,6.03051058682474,62.3598311
385,Harestua,10.7124285,60.206619
386,Harpefoss,9.861588,61.5773469
387,Harstad,16.520913478350344,68.92973835000001
388,Hasle,10.794713,59.9243612
389,Hasvik,22.11576399254509,70.63289449999999
390,Hattfjelldal,14.170608243183656,65.49995580000001
391,Haugalandet,5.3097014,59.3831099
392,Hauge,10.9948047,59.2465303
393,Haugesund,5.082761213563481,59.46824785
394,Haugland,5.1604139,60.4500944
395,Haugo,5.4760456,60.5049419
396,Haugsbygda,5.5829377,62.235448
397,Hauknes,10.3649733,64.1978774
398,Hausvik,6.9912792,58.0440885
399,Havøysund,24.6609576,70.9963105
400,Hedmark,12.014743700990163,60.81343105
401,Hedmarken,11.2016988,60.8449524
402,Heggedal,10.4370443,59.7872163
403,Heggelia,18.5049561,69.0466724
404,Heggenes,9.0696678,61.143733
405,Hegra,11.1142474,63.4641248
406,Heiås,11.2957068,59.7028487
407,Helgeland,6.3071504,59.3786367
408,Helgelandsmoen,10.2332154,60.1154514
409,Helgeroa,9.8633258,58.9937289
410,Hell,10.9127178,63.4449171
411,Helle,14.667081592237484,68.24170235
